TAG,Tag Description,MACHINE_GROUP,LOW_THRESHOLD,HIGH_THRESHOLD,THRESHOLD_TYPE,AGGREGATION_RULE,ENGINEERING_UNITS,CATEGORY
22PI102,SEAL OIL MAIN PUMP PRESSURE,K-2201_KT-2201,6,,Down,min,Kgf/cm2,Pressure
22PI103,CONTROL OIL HEADER PRESSURE,K-2201_KT-2201,5,,Down,min,Kgf/cm2,Pressure
22PI69,L.O MAIN PUMP DELIVERY LOW PRESSURE,K-2201_KT-2201,7.1,,Down,min,Kgf/cm2,Pressure
22PI70,LUBE OIL HEADER PRESSURE,K-2201_KT-2201,6.6,,Down,min,Kgf/cm2,Pressure
22PI95,L.O. HEADER PRESSURE,K-2201_KT-2201,0.96,,Down,min,Kgf/cm2,Pressure
22SI101,Shutdown indicator when value <100,K-2201_KT-2201,,,,avg,rpm,
22TI111,ST. TURBINE N.D.E BEARING TEMPERATURE,K-2201_KT-2201,,120,Up,max,degC,Temperature
22TI113,ST. TURBINE D.E BEARING TEMPERATURE,K-2201_KT-2201,,120,Up,max,degC,Temperature
22TI115,D.E BEARING TEMPERATURE,K-2201_KT-2201,,120,Up,max,degC,Temperature
22TI117,N.D.E BEARING TEMPERATURE,K-2201_KT-2201,,120,Up,max,degC,Temperature
22TI123,ST. TURBINE BEARING ACT. SIDE TEMPERATURE,K-2201_KT-2201,,120,Up,max,degC,Temperature
22VI01,ST. TURBINE SHAFT RADIAL VIBRATION,K-2201_KT-2201,,80,Up,max,micron,Vibration
22VI04,ST. TURBINE SHAFT RADIAL VIBRATION,K-2201_KT-2201,,80,Up,max,micron,Vibration
22VI06,SHAFT RADIAL VIBRATION,K-2201_KT-2201,,115,Up,max,micron,Vibration
22VI08,SHAFT RADIAL VIBRATION,K-2201_KT-2201,,110,Up,max,micron,Vibration
22ZI09,ST. TURBINE SHAFT AXIAL DISPLACEMENT,K-2201_KT-2201,-0.4000000059604645,0.4,Up/Down,avg,mm,Axial Displacement
22ZI10,SHAFT AXIAL DISPLACEMENT,K-2201_KT-2201,-0.4000000059604645,0.4000000059604645,Up/Down,avg,mm,Axial Displacement
22ZI11,ST. TURBINE SHAFT AXIAL DISPLACEMENT,K-2201_KT-2201,-0.4000000059604645,0.4,Up/Down,avg,mm,Axial Displacement
32JI001A,MOTOR CURRENT,K-3201 A_KM-3201 A,,725,Up,max,Ampere,Motor Current
32PI424,LUBE OIL INLET PRESSURE ,K-3201 A_KM-3201 A,1.5,,Down,min,kg/cm2,Pressure
32TI448,MOTOR STATOR TEMPERATURE ,K-3201 A_KM-3201 A,,110,Up,max,degC,Temperature
32TI448_2,MOTOR STATOR TEMPERATURE,K-3201 A_KM-3201 A,,105,Up,max,degC,Temperature
32TI448_4,MOTOR STATOR TEMPERATURE,K-3201 A_KM-3201 A,,105,Up,max,degC,Temperature
32TI448_6,MOTOR STATOR TEMPERATURE,K-3201 A_KM-3201 A,,105,Up,max,degC,Temperature
32TI448_7,MOTOR  NDE  BEARING TEMPERATURE ,K-3201 A_KM-3201 A,,80,Up,max,degC,Temperature
32TI448_8,MOTOR  DE  BEARING TEMPERATURE ,K-3201 A_KM-3201 A,,80,Up,max,degC,Temperature
32XI451,GEARBOX JOURNAL BEARING VIBRATION (PINION ),K-3201 A_KM-3201 A,,75,Up,max,micron,Vibration
32XI452,GEARBOX JOURNAL BEARING VIBRATION (PINION ),K-3201 A_KM-3201 A,,50,Up,max,micron,Vibration
